population,variant,group,signals,ic_n,ic_mean,ic_se,ic_t,ic_p,spread_n,spread_mean,spread_se,spread_t,spread_p,marginal_ic_n,marginal_ic_mean,marginal_ic_se,marginal_ic_t,marginal_ic_p
gbp_fixed,broad,Accounting,58,103,0.04416678670195279,0.008061416225722902,5.478787531280481,4.282502279766675e-08,103,0.011488773927870758,0.0024787798744966,4.634850414139311,3.5719568103264068e-06,103,0.018970265311971195,0.004210737971709229,4.505211542353646,6.630685465940174e-06
gbp_fixed,broad,Event,5,103,-0.015570949054719471,0.010457109633012388,-1.489029913730945,0.13647949176328578,2,-0.05006732305628264,,,,103,-0.007998791510540542,0.003883650770163058,-2.0596062787089133,0.03943619550660475
gbp_fixed,broad,Other,4,103,-0.014048292351522076,0.006844806851830931,-2.0524015732838787,0.040130651765481064,103,0.0008664361089463042,0.0024490819447560894,0.3537799585683503,0.7235037941544472,103,-0.010093051468789789,0.003370063438905875,-2.9949143841834025,0.002745218848130273
gbp_fixed,broad,Price,34,103,0.02662397329218653,0.012980731414445909,2.051037991785072,0.040263247092408486,103,-0.0013021558476583113,0.004114133860324191,-0.316507894946253,0.7516170336555559,103,0.009608601643997912,0.006375562490908209,1.5070986532874768,0.13178537194879889
gbp_fixed,broad,Trading,11,103,0.015696665464335555,0.010099820260317405,1.554152951217199,0.12014793711514349,103,0.0011971536060626496,0.0029939382214867693,0.39985915456470283,0.6892602580377136,103,0.004195386074956204,0.004858230176070106,0.8635626396668413,0.38782819507917443
gbp_fixed,broad_deduplicated,Accounting,55,103,0.04658627068882145,0.00837174521784115,5.564702397958882,2.6260017927093125e-08,103,0.012104980152370803,0.0026020998811642996,4.652004421503788,3.287240293199765e-06,103,0.020017933059918305,0.00426765878122299,4.690612367603985,2.7238858628226274e-06
gbp_fixed,broad_deduplicated,Event,5,103,-0.015570949054719471,0.010457109633012388,-1.489029913730945,0.13647949176328578,2,-0.05006732305628264,,,,103,-0.00803607829704582,0.0038483382042326206,-2.0881944025104877,0.03678030204001404
gbp_fixed,broad_deduplicated,Other,4,103,-0.014048292351522076,0.006844806851830931,-2.0524015732838787,0.040130651765481064,103,0.0008664361089463042,0.0024490819447560894,0.3537799585683503,0.7235037941544472,103,-0.010033573228842735,0.0032916140376859043,-3.04822288213858,0.002301991210791809
gbp_fixed,broad_deduplicated,Price,31,103,0.02603958826597073,0.01219920394684408,2.13453175956675,0.03279927673905044,103,-0.000926057283711305,0.003812976038142435,-0.24286994579762733,0.8081061483631184,103,0.009149070974312182,0.005958659842065347,1.5354242760635584,0.12467964442652386
gbp_fixed,broad_deduplicated,Trading,11,103,0.015696665464335555,0.010099820260317405,1.554152951217199,0.12014793711514349,103,0.0011971536060626496,0.0029939382214867693,0.39985915456470283,0.6892602580377136,103,0.004183128144632014,0.004793296181135033,0.8727038736090509,0.3828245058060865
gbp_fixed,native,Accounting,8,103,0.04531604136596307,0.011289358591527927,4.014049248109665,5.968588474798263e-05,103,0.005835388032153064,0.0035420068403168125,1.6474807348568308,0.09945927284899733,103,0.018754425541519206,0.0065030900825623844,2.883925226840696,0.003927519971277352
gbp_fixed,native,Price,12,103,0.017397767309136763,0.012775918966680577,1.3617624966556148,0.17327285077262666,103,-0.0028939512303817975,0.00404945728987013,-0.7146516244586961,0.4748243366720657,103,-0.0013984267891082765,0.006761650963710375,-0.20681735815906513,0.8361524993764994
gbp_fixed,native,Trading,8,103,0.018847543066048775,0.011327697561603711,1.6638458930907798,0.09614323003098629,103,0.003610879433931208,0.0035987935823312577,1.0033583064222653,0.31568801318103723,103,0.002612365385120952,0.007353799155398716,0.355240241121232,0.7224096200779877
us_domestic_fixed,us_deduplicated,Accounting,50,101,0.006736203784467919,0.009401171811196296,0.7165281009379553,0.4736653223110868,101,-0.002135500730327219,0.00344160144088779,-0.6204962332234347,0.5349311331679379,101,0.003174769350556549,0.005090033634112365,0.6237226664436741,0.5328097346306281
us_domestic_fixed,us_deduplicated,Event,5,101,-0.0051308239754465365,0.015875665741237308,-0.32318795690684865,0.7465529009334213,0,,,,,101,-0.004604309264883677,0.005356312387458604,-0.8596043195061429,0.3900071931408384
us_domestic_fixed,us_deduplicated,Other,4,101,0.004370340542641851,0.013123177759175467,0.3330245633216539,0.7391157416005832,90,0.005305585965741744,0.004813274567807408,1.1022820100949693,0.2703390879047005,101,0.001806490154781948,0.006523036732967654,0.2769400554885555,0.7818261351517981
us_domestic_fixed,us_deduplicated,Price,31,101,0.0011915493383409049,0.017421725849087404,0.06839444890032645,0.9454716406205409,101,-0.007501516912976564,0.005505681389962948,-1.362504725873185,0.17303865373702265,101,-0.0022876481221031086,0.00814417536119123,-0.2808937701666212,0.7787918790548304
us_domestic_fixed,us_deduplicated,Trading,11,101,0.006553609155527208,0.007889940664877033,0.8306284462570603,0.40618355975353837,101,0.003290533284002418,0.0028988926918493314,1.135100065364352,0.25633339418790646,101,0.0007302897776820302,0.0041705693543081825,0.17510553491399047,0.8609967092345464
us_domestic_fixed,us_eligible,Accounting,53,101,0.004078220485258391,0.009063294196306946,0.44997110288223446,0.6527312770914966,101,-0.002091977901031733,0.003216986847889649,-0.6502910953472114,0.5155042078998142,101,0.0017248646865682502,0.00486060221153392,0.3548664571799866,0.7226896384275504
us_domestic_fixed,us_eligible,Event,5,101,-0.0051308239754465365,0.015875665741237308,-0.32318795690684865,0.7465529009334213,0,,,,,101,-0.004637033198911768,0.00526950169072929,-0.87997565444751,0.37887249836078774
us_domestic_fixed,us_eligible,Other,4,101,0.004370340542641851,0.013123177759175467,0.3330245633216539,0.7391157416005832,90,0.005305585965741744,0.004813274567807408,1.1022820100949693,0.2703390879047005,101,0.002040397020967643,0.0064588379189540164,0.31590776027680184,0.7520725214943894
us_domestic_fixed,us_eligible,Price,34,101,-0.00015171004544147805,0.017960852418243235,-0.008446706309294252,0.9932605835856257,101,-0.008600280161024562,0.005700904547016285,-1.5085816803450496,0.1314057186871331,101,-0.0027816733086897237,0.008327583794798896,-0.33403126011497536,0.7383559699531169
us_domestic_fixed,us_eligible,Trading,11,101,0.006553609155527208,0.007889940664877033,0.8306284462570603,0.40618355975353837,101,0.003290533284002418,0.0028988926918493314,1.135100065364352,0.25633339418790646,101,0.0009656411465328338,0.004133616099782622,0.23360687669655988,0.8152901886219507
us_domestic_fixed,us_native,Accounting,8,101,0.0021755017228541652,0.010436321262116915,0.20845484421326485,0.8348738372250404,101,-0.006633958482535191,0.004096747338239237,-1.6193233155028874,0.10537771665231693,101,-2.880593681158823e-05,0.005255271233324073,-0.005481341596400886,0.9956265440679138
us_domestic_fixed,us_native,Price,12,101,0.00027408149883782003,0.01854245580913514,0.014781294433652678,0.988206662832089,101,-0.007371712664420338,0.005604677655433469,-1.3152786150464535,0.18841628247787012,101,-0.003477233952271048,0.009642523123555822,-0.3606145308354487,0.7183876252301764
us_domestic_fixed,us_native,Trading,8,101,0.017195500468004343,0.007562886247083646,2.2736690604906515,0.02298589175431627,101,0.005498302066226325,0.0025652520143480996,2.143376960810454,0.03208284155381525,101,0.00805308362739999,0.004687510878593147,1.7179871867981555,0.08579895242916447
